Model,Validation MAE,Test MAE,Validation RMSE,Test RMSE,Validation R2,Test R2
Naive,41.827262299601,41.793203583528935,48.149718080080625,48.026574714897116,,
Linear Regression,8.635278202183144,8.134610465758767,12.923746567059926,11.671302442104867,0.7962441049087354,0.8295248937372248
Ridge,8.639177864912789,8.1450040629721,12.898718748479777,11.670623870351697,0.7970325183463041,0.8295447160714478
XGBoost,7.092338745685331,6.130105630363024,11.623738379104006,9.570684651922138,0.835174284460134,0.8853673487815161
LightGBM,7.226456644053751,6.304240314933028,11.810057787002444,9.75789264000549,0.8298478809981797,0.8808389299507087
LSTM,,7.148021365441416,,10.83681958323225,,0.8530309085028207
